Hokkaido	83424	5381733
Aomori	9646	1308265
Iwate	15275	1279594
Miyagi	6859	2333899
Akita	11638	1023119
Yamagata	6652	1123891
Fukushima	13784	1914039
Ibaraki	6097	2916976
Tochigi	6408	1974255
Gunma	6362	1973115
Saitama	3768	7266534
Chiba	5083	6222666
Tokyo	2109	13515271
Kanagawa	2416	9126214
Niigata	10364	2304264
Yamanashi	4254	834930
Nagano	13104	2098804
Gifu	9769	2031903
Shizuoka	7253	3700305
Aichi	5124	7483128
Mie	5759	1815865
Toyama	2046	1066328
Ishikawa	4186	1154008
Fukui	4191	786740
Shiga	3767	1412916
Kyoto	4612	2610353
Osaka	1905	8839469
Hyogo	8401	5534800
Nara	3691	1364316
Wakayama	4725	963579
Tottori	3507	573441
Shimane	6708	694352
Okayama	7011	1921525
Hiroshima	8480	2843990
Yamaguchi	6113	1404729
Tokushima	4147	755733
Kagawa	1863	976263
Ehime	5676	1385262
Kochi	7104	728276
Fukuoka	4854	5151560
Saga	2441	832832
Nagasaki	4131	1377187
Kumamoto	7273	1786170
Oita	5100	1166338
Miyazaki	6794	1104069
Kagoshima	9043	1648177
Okinawa	2281	1433566
